TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 08:27 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
2023,2023,100.0000,2015,99.6045,8,828382,464008,56.0137

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,TODOS,UNE,VALOR UNIONISTA,PR,CAMBIO,AZUL,MLP,VICTORIA,VAMOS,PHG,BIEN,UR,P A N,PIN,FCN-NACION,COMITE CIVICO LA GOTA DE AGUA,PPN,FOPPA X LA CIUDAD,MI FAMILIA,CABAL,VIVA,PODEMOS,PODER,CREO,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
1,"Distrito Central",0,"Guatemala",1,1,400,9,21,86,1,3,8,2,4,3,0,5,0,1,0,0,3,5,45,1,5,1,13,0,38,--,--,--,--,--,--,--,--,--,254,254,254,Algún campo sin dato,1,e798d13702b9a3b5b3672b7de0598a5c4baa55bb18c85342a0ec76027c97e8e6,26/06/2023 02:19:04,ESCANER
2,"Distrito Central",0,"Guatemala",1,1,400,14,16,72,2,5,7,1,5,5,1,1,0,4,0,0,1,1,46,0,4,3,15,0,52,255,16,1,272,0,272,--,400,128,255,272,272,Algún campo sin dato,1,8eaff44acb0ac8850475199341a6baeeda9c048a05dc1014d82cc307bb58f8e1,25/06/2023 23:09:37,ESCANER
3,"Distrito Central",0,"Guatemala",1,1,277,10,18,25,2,3,9,0,3,7,0,1,0,4,0,1,3,2,26,0,4,1,2,1,33,203,11,1,215,0,215,--,277,62,155,167,167,Sumas Asentadas sin cuadrar,1,1bae08360c7223157da09ecd050b4f176f190a0710604249c8cb9a36f275b0df,26/06/2023 01:02:30,ESCANER
4,"Distrito Central",0,"Guatemala",1,1,277,9,8,52,0,1,8,3,2,3,0,2,1,2,0,2,0,0,39,1,0,0,9,1,28,171,13,0,184,0,184,--,277,93,171,184,184,Algún campo sin dato,1,cbac8f21a3ecf69b35b2d0b88829658e4652155de1425f340e6ba54cbe0a5799,25/06/2023 22:33:23,ESCANER
5,"Distrito Central",0,"Guatemala",1,2,400,7,19,55,0,5,9,2,8,5,1,3,2,2,0,2,0,2,40,0,3,4,9,1,44,223,13,2,238,0,238,--,400,162,223,238,238,Algún campo sin dato,1,9d749654c17aabedcb2e2b60cd8f9ebd29b3498b42d16ad7348227c3b1d55777,26/06/2023 00:01:59,ESCANER
6,"Distrito Central",0,"Guatemala",1,2,400,10,16,52,1,3,7,0,7,3,3,2,2,1,3,0,1,4,33,4,1,6,10,0,39,208,18,1,227,0,227,--,400,173,208,227,227,Algún campo sin dato,1,f717990a4832cdf37c584e478b686ab135b7f985c1f8b5a0ba891aad111b5469,26/06/2023 00:33:14,ESCANER
7,"Distrito Central",0,"Guatemala",1,2,400,7,15,76,0,2,10,0,4,5,2,3,1,1,0,1,1,1,22,0,4,6,7,2,43,213,19,0,232,0,232,--,400,168,213,232,232,Algún campo sin dato,1,85a293575a45d1dd3e50dfd78f66823fb19409c0407486d82d5de9f8564e9339,26/06/2023 02:02:53,ESCANER
8,"Distrito Central",0,"Guatemala",1,2,400,12,19,70,0,7,5,2,1,4,1,3,0,3,0,2,1,0,27,0,1,7,9,0,43,217,20,0,237,0,237,--,400,163,217,237,237,Algún campo sin dato,1,11d750cb0edad64027aba24772b8f261924a3d373ad593b116f1ffadaba8f113,26/06/2023 02:01:23,ESCANER
9,"Distrito Central",0,"Guatemala",1,2,400,5,17,52,1,6,4,2,3,4,0,0,2,1,4,2,1,2,41,2,3,3,8,0,61,224,17,0,241,0,241,--,400,159,224,241,241,Algún campo sin dato,1,3201cf8f1db01d0ad8b91bf24ce77a2adbcd41c7cd88a21392df5aa7a732b751,26/06/2023 00:41:14,ESCANER
10,"Distrito Central",0,"Guatemala",1,2,400,8,16,61,0,5,6,1,4,7,3,6,1,1,0,0,1,4,34,2,1,4,9,4,47,225,11,1,237,0,237,--,397,160,225,237,237,Algún campo sin dato,1,6a18dc38def501c00a94d3a41036e8f267cadd42d654748866528d5054d90596,26/06/2023 01:12:22,ESCANER
11,"Distrito Central",0,"Guatemala",1,2,400,13,12,65,1,3,10,0,1,9,0,3,2,0,0,1,0,1,46,6,6,2,12,0,57,250,20,0,270,0,270,--,400,130,250,270,270,Algún campo sin dato,1,4c0f0db39b6f97fb76554298028d5897950bf84a2fe68436d130f1316146d4c2,26/06/2023 01:18:45,ESCANER
12,"Distrito Central",0,"Guatemala",1,2,400,14,15,62,0,6,9,1,3,3,0,1,1,1,0,1,1,3,48,0,5,4,12,1,52,243,14,0,257,0,257,--,400,143,243,257,257,Algún campo sin dato,1,7c829116d9fb9644b506885dd6966e825c5eae5a1b874cea5ef9c471abd7f5cc,26/06/2023 01:30:16,ESCANER
13,"Distrito Central",0,"Guatemala",1,2,400,10,15,71,1,3,3,5,7,5,0,3,3,3,0,1,0,2,40,2,7,2,9,0,28,220,18,1,239,0,239,--,398,159,220,239,239,Algún campo sin dato,1,1aa9db351a65932da8306369dc5604e79b6815dd761347122bb42af5211f9d22,26/06/2023 01:23:22,ESCANER
14,"Distrito Central",0,"Guatemala",1,2,400,11,9,76,0,4,5,1,6,8,3,5,1,2,2,2,0,2,46,1,3,1,7,0,41,236,22,2,260,0,260,--,400,140,236,260,260,Algún campo sin dato,1,f8385e543f7c64ffd63b0e7b1e50c9d11b2bd16d68b67db4c4ba046fb24cd52a,26/06/2023 01:30:55,ESCANER
15,"Distrito Central",0,"Guatemala",1,2,400,17,15,71,1,3,7,1,4,8,2,3,2,3,0,1,0,3,47,1,1,6,3,1,46,246,32,2,280,0,280,--,399,119,246,280,280,Algún campo sin dato,1,4a6a28c9ebcfac65cd0e66bd2680ebd5d6a5f1342e7642ffc118de26a78496c0,26/06/2023 01:46:53,ESCANER
16,"Distrito Central",0,"Guatemala",1,2,400,13,22,64,1,1,9,2,2,5,0,3,2,1,0,0,0,1,41,1,3,0,14,2,59,246,23,1,270,0,270,--,400,130,246,270,270,Algún campo sin dato,1,21ce899273d51b94163aea79983595c0d50032f9b699fa476329118f43d094c7,25/06/2023 22:50:29,ESCANER
17,"Distrito Central",0,"Guatemala",1,2,400,13,17,74,2,2,3,0,5,3,1,2,1,0,2,2,0,2,48,0,3,4,10,1,51,246,19,2,267,0,267,--,397,130,246,267,267,Algún campo sin dato,1,15fa8bb96484aea7546213c8fea18317ee82c7ea8e041706259aa6cc5b01cd80,26/06/2023 02:06:16,ESCANER
18,"Distrito Central",0,"Guatemala",1,2,400,10,14,64,0,2,9,3,5,6,1,6,2,0,3,0,1,0,31,2,3,3,8,0,52,225,20,2,247,0,247,--,400,153,225,247,247,Algún campo sin dato,1,2ea9d076f7b1f2a95ebe5c277fda426cd02c4d844a1b3b45f412af6d4b98b407,26/06/2023 02:00:10,ESCANER
19,"Distrito Central",0,"Guatemala",1,2,400,10,17,52,1,4,6,3,5,8,0,3,1,2,0,0,2,1,32,3,1,2,8,0,44,205,19,1,225,0,225,--,400,175,205,225,225,Algún campo sin dato,1,af3320586aa78bd3fe1fa9b6e39e30914733672a42339ad81e2ed9ee466a914f,26/06/2023 00:30:04,ESCANER
20,"Distrito Central",0,"Guatemala",1,3,400,11,17,75,1,2,13,3,5,8,2,1,0,2,0,2,0,2,41,1,2,5,8,1,49,251,18,0,269,0,269,1,397,127,251,269,269,,1,a7efdc35b62095979304ad670afadb1a825c0117026677e5ace29eef89652626,26/06/2023 02:05:33,ESCANER
21,"Distrito Central",0,"Guatemala",1,3,400,3,15,66,2,3,9,0,5,6,0,5,2,0,1,1,0,2,52,2,4,7,14,2,58,259,12,1,272,0,272,--,400,128,259,272,272,Algún campo sin dato,1,dbee45d938469e8aa56cee70b59096f2b8a6959ef549a26e354a3f8c327b1760,26/06/2023 00:57:47,ESCANER
22,"Distrito Central",0,"Guatemala",1,3,400,17,15,78,1,2,10,1,6,7,3,1,0,0,2,0,3,2,42,0,3,1,19,0,46,259,17,0,276,0,276,--,400,124,259,276,276,Algún campo sin dato,1,b61fd49420a9bf82ccc714c42d2190748836d871b07a9581a40457cd1548c8c1,26/06/2023 00:03:37,ESCANER
23,"Distrito Central",0,"Guatemala",1,3,400,6,15,63,0,1,11,1,4,10,2,7,0,2,0,1,0,2,43,3,1,3,5,0,51,231,12,3,246,0,246,--,400,154,231,246,246,Algún campo sin dato,1,ac62c8381679d7820f78651d6a73c26e9a45b309e6c8e082d2e8ca2058a9949c,26/06/2023 02:45:00,ESCANER
24,"Distrito Central",0,"Guatemala",1,3,400,10,12,70,0,6,4,1,6,4,0,3,2,1,0,0,0,2,44,3,3,3,5,0,51,230,26,0,256,0,256,--,400,144,230,256,256,Algún campo sin dato,1,0752b1799d0334ad3d8a5a0107298aff3cc0da3930b46060a66c72adb9d41f9e,25/06/2023 23:35:39,ESCANER
25,"Distrito Central",0,"Guatemala",1,3,400,10,17,53,1,5,5,1,7,1,1,4,1,3,0,0,0,1,61,1,2,4,14,0,41,233,8,0,241,0,241,--,397,156,233,241,241,Algún campo sin dato,1,a1ea91a68cbe92215ff68825f5dedbe444a33b0e85d08eff3a05089f696b520b,26/06/2023 03:19:00,ESCANER
